category,institution,city,state,type
HBCU,Lincoln University,Jefferson City,MO,Public 4yr
HBCU,Lincoln University,Lincoln Universit,PA,Public 4yr
HBCU,Livingstone College,Salisbury,NC,Private 4yr
AANAPISI & HSI,Loma Linda University,Loma Linda,CA,Private 4yr
HSI,Lone Star College System,The Woodlands,TX,Public 4yr
HSI,Lone Star College System - Montgomery,Conroe,TX,NULL
HSI,Lone Star College System - Tomball,Tomball,TX,NULL
AANAPISI,Long Island University,Brookville,NY,Private 4yr
HSI,Los Angeles Pacific University,San Dimas,CA,Private 4yr
NASNTI,Louisiana State University-Alexandria,Alexandria,LA,Public 4yr
HSI,Manhattanville College,Purchase,NY,Private 4yr
HSI,Marymount California University,Rancho Palos Ve,CA,Private 4yr
HSI,Marymount University,Arlington,VA,Private 4yr
HSI,McMurry University,Abilene,TX,Private 4yr
HBCU,Meharry Medical College,Nashville,TN,Private 4yr
HSI,Mercy College,Dobbs Ferry,NY,Private 4yr
HSI & PBI,Metropolitan College of New York,New York,NY,Private 4yr
AANAPISI,Metropolitan State University,Saint Paul,MN,Public 4yr
HSI,Metropolitan State University of Denver,Denver,CO,Public 4yr
HSI,Miami Dade College,Miami,FL,Public 4yr
HSI,Miami Dade College - North Campus,Miami,FL,NULL
HSI,Miami Dade College - Wolfson Campus,Miami,FL,NULL
HBCU,Miles College,Fairfield,AL,Private 4yr
HSI,MiraCosta College,Oceanside,CA,Public 4yr
HBCU,Mississippi Valley State University,Itta Bena,MS,Public 4yr
HSI,Modesto Junior College,Modesto,CA,Public 4yr
NASNTI,Montana State University-Northern,Havre,MT,Public 4yr
HSI,Montclair State University,Montclair,NJ,Public 4yr
HBCU,Morehouse College,Atlanta,GA,Private 4yr
HBCU,Morehouse School of Medicine,Atlanta,GA,Private 4yr
HSI,Morgan Community College,Fort  Morgan,CO,Public 4yr
HBCU,Morgan State University,Baltimore,MD,Public 4yr
HBCU,Morris College,Sumter,SC,Private 4yr
HSI,Mount Mary University,Milwaukee,WI,Private 4yr
AANAPISI & HSI,Mount Saint Mary's University,Los Angeles,CA,Private 4yr
HSI,National Louis University,Chicago,IL,Private 4yr
HSI,National University,La Jolla,CA,Private 4yr
AANAPISI,National University of Health Sciences,Lombard,IL,Private 4yr
