instname,housed_under,college,school,department,program_area,program_level,cip_program,website_inst,website_program,website_catalog,course_titles
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,Digital Forensics and Investigation
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,Cyber Attack and Prevention Techniques
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,Fundamentals of Healthcare Information Technology
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,Digital Forensics and Investigation Healthcare Informatics and Data Security
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,"Healthcare Data Policy, Procedure, and Standards"
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,Capstone Project in Cybersecurity or Information Systems
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,Decision Support Systems
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,E-Commerce Application Technologies
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,Information Assurance
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,Applied Data Mining and Analytics in Business
Talladega College,Computing,N/A,N/A,Department of Computer Science,Computer Information Systems,Master of Science,11.1003,https://www.talladega.edu/,https://www.talladega.edu/master-of-science-in-computer-information-systems/,https://talladega.libguides.com/mastersprogram/requirementandcurriculum,Ethics and Compliance Issues in Cybersecurity
Tuskegee University,Computing,College of Business and Information Science,N/A,Department of Computer Science,Information Systems & Computer Security ,Master of Science,11.1003,https://www.tuskegee.edu/,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/iscs-graduate-program,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/graduate-program,Data Networks and Cloud Computing
Tuskegee University,Computing,College of Business and Information Science,N/A,Department of Computer Science,Information Systems & Computer Security ,Master of Science,11.1003,https://www.tuskegee.edu/,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/iscs-graduate-program,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/graduate-program,Database Systems
Tuskegee University,Computing,College of Business and Information Science,N/A,Department of Computer Science,Information Systems & Computer Security ,Master of Science,11.1003,https://www.tuskegee.edu/,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/iscs-graduate-program,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/graduate-program,Statistics with R
Tuskegee University,Computing,College of Business and Information Science,N/A,Department of Computer Science,Information Systems & Computer Security ,Master of Science,11.1003,https://www.tuskegee.edu/,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/iscs-graduate-program,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/graduate-program,Information Security
Tuskegee University,Computing,College of Business and Information Science,N/A,Department of Computer Science,Information Systems & Computer Security ,Master of Science,11.1003,https://www.tuskegee.edu/,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/iscs-graduate-program,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/graduate-program,Network Security and Management
Tuskegee University,Computing,College of Business and Information Science,N/A,Department of Computer Science,Information Systems & Computer Security ,Master of Science,11.1003,https://www.tuskegee.edu/,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/iscs-graduate-program,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/graduate-program,Introduction to Cybersecurity
Tuskegee University,Computing,College of Business and Information Science,N/A,Department of Computer Science,Information Systems & Computer Security ,Master of Science,11.1003,https://www.tuskegee.edu/,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/iscs-graduate-program,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/graduate-program,Information Security Policy and Risk
Tuskegee University,Computing,College of Business and Information Science,N/A,Department of Computer Science,Information Systems & Computer Security ,Master of Science,11.1003,https://www.tuskegee.edu/,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/iscs-graduate-program,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/graduate-program,Mobile Security
Tuskegee University,Computing,College of Business and Information Science,N/A,Department of Computer Science,Information Systems & Computer Security ,Master of Science,11.1003,https://www.tuskegee.edu/,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/iscs-graduate-program,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/graduate-program,Software Security
Tuskegee University,Computing,College of Business and Information Science,N/A,Department of Computer Science,Information Systems & Computer Security ,Master of Science,11.1003,https://www.tuskegee.edu/,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/iscs-graduate-program,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/graduate-program,Computer Forensics
Tuskegee University,Computing,College of Business and Information Science,N/A,Department of Computer Science,Information Systems & Computer Security ,Master of Science,11.1003,https://www.tuskegee.edu/,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/iscs-graduate-program,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/graduate-program,Web Application Security
Tuskegee University,Computing,College of Business and Information Science,N/A,Department of Computer Science,Information Systems & Computer Security ,Master of Science,11.1003,https://www.tuskegee.edu/,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/iscs-graduate-program,https://www.tuskegee.edu/programs-courses/colleges-schools/cbis/computer-science/graduate-program,Data Analytics
